,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
2304,Jimmy Yacabonis,2018,129,93.9,2280,63.5,203,0
2305,Miguel Gonzalez,2018,128,89.7,2368,49.6,258,0
2306,Luis Santos,2018,128,93.5,2485,48.9,262,0
2307,Ryan Cook,2018,127,94.8,2112,71.8,177,0
2308,Sergio Romo,2018,125,86.2,2270,15.7,798,0
2309,Scott Barlow,2018,125,90.6,2334,52.7,237,0
2310,Justin Grimm,2018,125,93,2114,49.6,252,0
2311,Richard Bleier,2018,124,86.1,1904,27.4,452,0
2312,Joe Smith,2018,121,88.2,2132,29.5,410,0
2313,Kyle Crockett,2018,121,87.4,1890,69.5,174,0
2314,Darren O'Day,2018,120,86.8,2375,36.1,332,0
2315,Carlos Torres,2018,119,92.4,2346,80.4,148,0
2316,Chris O'Grady,2018,119,84.3,2133,86.9,137,0
2317,Kevin Quackenbush,2018,118,90.1,2025,68.6,172,0
2318,Luke Bard,2018,118,92.2,2772,55.4,213,0
2319,Ariel Jurado,2018,116,91.8,1670,73.9,157,0
2320,Bobby Poyner,2018,116,90,2176,64.4,180,0
2321,Robert Stock,2018,115,97.5,2156,56.1,205,0
2322,Harrison Musgrave,2018,114,91,2493,25.3,450,0
2323,Boone Logan,2018,113,94.1,2292,50.4,224,0
2324,Steve Cishek,2018,111,90.3,2397,13.5,820,0
2325,Matt Albers,2018,111,91.8,2134,21.4,519,0
2326,Adam Wainwright,2018,111,85.5,2251,31.5,352,0
2327,Austin Brice,2018,110,94.1,2241,19.4,567,0
2328,Adrian Houser,2018,110,94.3,2218,66.3,166,0
2329,Brett Graves,2018,110,91.3,2067,57,193,0
2330,Paul Fry,2018,109,91.5,2257,52.9,206,0
2331,David Hale,2018,109,91,2277,48.2,226,0
2332,Edgar Santana,2018,108,94.8,2338,15.9,680,0
2333,Tyler Olson,2018,108,88.6,2332,33.1,326,0
2334,Enyel De Los Santos,2018,108,93.8,2106,62.4,173,0
2335,Adam Liberatore,2018,108,90.9,2175,50,216,0
2336,Zac Curtis,2018,105,92.2,2237,61.4,171,0
